,user_id,follow_user_id,strength,Unnamed: 0_actual,id_actual,name_actual,screen_name_actual,statuses_count_actual,followers_count_actual,friends_count_actual,favourites_count_actual,Account Type_actual,Group Type_actual,Unnamed: 0_follows,id_follows,name_follows,screen_name_follows,statuses_count_follows,followers_count_follows,friends_count_follows,favourites_count_follows,Account Type_follows,Group Type_follows
644,237226175.0,434728619.0,25,15.0,237226175.0,Adele Bernini,Adelahu83,478.0,5508.0,5642.0,0.0,spam,social,37.0,434728619.0,Aldo Sereni,Addisonohy,482.0,4486.0,4935.0,0.0,spam,social
645,237326341.0,1273211443.0,21,17.0,237326341.0,Veronica ,Wendyn76e,444.0,5530.0,5873.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
646,237332572.0,1273211443.0,30,18.0,237332572.0,Laura Ricca,Larapa82,486.0,6018.0,6466.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
647,237375183.0,1273211443.0,6,22.0,237375183.0,Lydia Wallace,Lydiali76,497.0,4420.0,4731.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
649,240706202.0,1273211443.0,41,23.0,240706202.0,Il Trofeo,ilpoetadel,5550.0,4855.0,5300.0,3.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
694,299988118.0,299988118.0,4,26.0,299988118.0,Marco,PeterLaliOK,9053.0,243.0,965.0,272.0,spam,social,26.0,299988118.0,Marco,PeterLaliOK,9053.0,243.0,965.0,272.0,spam,social
866,336996257.0,466161043.0,42,28.0,336996257.0,Rosanna Marani,RosannaMarani,106283.0,3307.0,934.0,34156.0,spam,social,163.0,466161043.0,Gemma,GemmaDarianti,287.0,5188.0,5705.0,0.0,spam,social
875,336996257.0,336996257.0,15,28.0,336996257.0,Rosanna Marani,RosannaMarani,106283.0,3307.0,934.0,34156.0,spam,social,28.0,336996257.0,Rosanna Marani,RosannaMarani,106283.0,3307.0,934.0,34156.0,spam,social
926,336996257.0,465445130.0,41,28.0,336996257.0,Rosanna Marani,RosannaMarani,106283.0,3307.0,934.0,34156.0,spam,social,132.0,465445130.0,Alessio Mora,AlessioMora79,148.0,0.0,0.0,0.0,spam,social
1142,393927847.0,1273211443.0,41,30.0,393927847.0,Claudia Morabito,ClaudiaMora84,306.0,466.0,682.0,7.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1155,421987528.0,576836266.0,1,33.0,421987528.0,Paola Gattini ,PaolaGattini1,4986.0,152.0,294.0,9.0,spam,social,802.0,576836266.0,Carlo Lucarelli,carlo_Iucarelli,4024.0,2611.0,2834.0,1.0,spam,social
1166,421987528.0,421987528.0,15,33.0,421987528.0,Paola Gattini ,PaolaGattini1,4986.0,152.0,294.0,9.0,spam,social,33.0,421987528.0,Paola Gattini ,PaolaGattini1,4986.0,152.0,294.0,9.0,spam,social
1200,434727810.0,1273211443.0,26,36.0,434727810.0,Cristiano Minima,CristianoMinima,422.0,4367.0,4803.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1205,434732328.0,1273211443.0,15,39.0,434732328.0,Jorden Leonardo,Jordenoza,507.0,4032.0,4414.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1209,434742028.0,1273211443.0,44,40.0,434742028.0,Gregorio Abramo,GregorioAbramo,437.0,4159.0,4483.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1212,434756188.0,1273211443.0,4,41.0,434756188.0,Aldo Urro,HudsonAldenlvc,460.0,3800.0,4185.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1215,434792369.0,1273211443.0,33,44.0,434792369.0,Aldo,AldoColecchia,439.0,4514.0,4730.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1247,465196345.0,1273211443.0,3,48.0,465196345.0,Filippa Varelli,FilippaVarelli,120.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1248,465303273.0,1273211443.0,26,49.0,465303273.0,Livia Salemme,LiviaSalemme,79.0,1.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1252,465317813.0,1273211443.0,5,53.0,465317813.0,Olivera,OliveraMarigu,257.0,4992.0,5250.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1254,465325040.0,1273211443.0,30,59.0,465325040.0,Michele Notami,MicheleNotami,161.0,480.0,671.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1257,465338328.0,467060783.0,44,64.0,465338328.0,Emilio Strafanno,EmilioStrafanno,100.0,0.0,0.0,0.0,spam,social,439.0,467060783.0,Emanuela Sdrena,EmanuelaSdrena,120.0,0.0,0.0,0.0,spam,social
1259,465347437.0,1273211443.0,29,66.0,465347437.0,Simona,SimonaMorante,231.0,4936.0,5228.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1260,465351389.0,1273211443.0,32,68.0,465351389.0,Oriana,OrianaFalqui,270.0,5537.0,6062.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1262,465359767.0,1273211443.0,49,70.0,465359767.0,Carmela Noa,CarmelaNoa,140.0,296.0,345.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1265,465361035.0,1273211443.0,9,72.0,465361035.0,Marcella Colasa,MarcellaColasa,82.0,1.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1267,465366686.0,1273211443.0,39,75.0,465366686.0,Francesca Formo,FrancescaFormo,149.0,232.0,341.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1268,465368221.0,1273211443.0,3,77.0,465368221.0,Daiana Norma,DaianaNorma,139.0,281.0,334.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1269,465371415.0,1273211443.0,4,81.0,465371415.0,Sara Fermani,SaraFermani75,48.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1270,465373317.0,1273211443.0,32,83.0,465373317.0,Michela Lancinin,MichelaLancinin,20.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1271,465373538.0,1273211443.0,19,85.0,465373538.0,Diana Valeti,DianaValeti,31.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1272,465374259.0,1273211443.0,26,87.0,465374259.0,Melissa Genio,MelissaGenio,67.0,1.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1275,465378609.0,467147087.0,18,92.0,465378609.0,Maurizio Torrino,MaurizioTorrino,63.0,0.0,0.0,0.0,spam,social,531.0,467147087.0,Marco Farano,MarcoFarano,57.0,0.0,0.0,0.0,spam,social
1278,465380942.0,1273211443.0,14,95.0,465380942.0,Cinzia Devoti,CinziaDevoti,136.0,281.0,340.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1280,465393290.0,1273211443.0,22,101.0,465393290.0,Renzo Meravigli,RenzoMeravigli,68.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1282,465394343.0,1273211443.0,22,103.0,465394343.0,Evelina,EvelinaCarroso,282.0,4894.0,5379.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1283,465398499.0,1273211443.0,47,104.0,465398499.0,Stefania Ediano,StefaniaEdiano,134.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1284,465399558.0,1273211443.0,15,106.0,465399558.0,Plourde Manns,PaolaIlario,258.0,4622.0,4905.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1289,465429324.0,466314172.0,21,123.0,465429324.0,Chiara ,ChiaraBerani,365.0,6135.0,6660.0,0.0,spam,social,282.0,466314172.0,Carola,CarolaMinnini,260.0,4472.0,4753.0,0.0,spam,social
1290,465431259.0,1273211443.0,14,125.0,465431259.0,Naomi Bulla,NaomiBulla,120.0,248.0,361.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1292,465434130.0,1273211443.0,42,127.0,465434130.0,Marzia Genovesi,MarziaGenovesi,79.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1293,465434388.0,1273211443.0,20,128.0,465434388.0,Stefano Manchi,StefanoManchi,138.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1296,465445130.0,1273211443.0,27,132.0,465445130.0,Alessio Mora,AlessioMora79,148.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1298,466110228.0,1273211443.0,21,134.0,466110228.0,Sarah Denoni,SarahDenoni,95.0,19.0,40.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1300,466114317.0,1273211443.0,15,135.0,466114317.0,Gioia Del Prete,GioiaDelPrete,93.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1306,466132138.0,466361828.0,16,144.0,466132138.0,Bea Consigli,BeaConsigli,295.0,4419.0,4861.0,0.0,spam,social,312.0,466361828.0,Ariela,ArielaMorelli,254.0,3633.0,3964.0,0.0,spam,social
1309,466143639.0,1273211443.0,26,149.0,466143639.0,Vanessa Luppolo,VanessaLuppolo,81.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1310,466145460.0,1273211443.0,13,150.0,466145460.0,Mariella Navoni,MariellaNavoni,145.0,296.0,362.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1311,466146699.0,1273211443.0,3,151.0,466146699.0,Pietro Cardio,PietroCardio,109.0,1.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1312,466150269.0,1273211443.0,5,152.0,466150269.0,Bruna Carlinetti,BrunaCarlinetti,153.0,241.0,341.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1313,466152441.0,1273211443.0,26,153.0,466152441.0,Cinzia Biazzi,CinziaBiazzi,150.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1314,466152938.0,1273211443.0,48,154.0,466152938.0,Wilma,WilmaGiada,302.0,5149.0,5484.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1316,466155797.0,1273211443.0,38,158.0,466155797.0,Vanessa Giorga,VanessaGiorga,65.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1317,466156124.0,1273211443.0,9,159.0,466156124.0,Alma,AlmaCerasolo,299.0,4328.0,4751.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1318,466157984.0,1273211443.0,9,160.0,466157984.0,Franco Contenne,FrancoContenne,138.0,314.0,394.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1319,466159914.0,1273211443.0,31,162.0,466159914.0,Antonio Barvaro,AntonioBarvaro,49.0,1.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1321,466161043.0,1273211443.0,5,163.0,466161043.0,Gemma,GemmaDarianti,287.0,5188.0,5705.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1322,466162451.0,1273211443.0,23,164.0,466162451.0,Gemma Noffi,GemmaNoffi,106.0,27.0,35.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1323,466175265.0,1273211443.0,7,170.0,466175265.0,Michela Onorili,MichelaOnorili,105.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1324,466176895.0,1273211443.0,26,171.0,466176895.0,Marco Murante,MarcoMurante,129.0,250.0,328.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1325,466177486.0,1273211443.0,15,172.0,466177486.0,Nicola Salvator,NicolaSalvator,158.0,462.0,664.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1326,466188621.0,1273211443.0,4,178.0,466188621.0,Daniele Sazio,DanieleSazio,31.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1327,466189857.0,1273211443.0,45,180.0,466189857.0,Nora Timoti,NoraTimoti,116.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1329,466192045.0,1273211443.0,16,181.0,466192045.0,Dalila Travallo,DalilaTravallo,131.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1333,466198529.0,1273211443.0,47,187.0,466198529.0,Laura,LauraTitanti,362.0,5017.0,5405.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1335,466203702.0,237201814.0,25,189.0,466203702.0,Bernarda,BernardaLevi,334.0,6193.0,6432.0,1.0,spam,social,14.0,237201814.0,Adele,Adelabx71,471.0,4375.0,4777.0,0.0,spam,social
1339,466206406.0,1273211443.0,40,192.0,466206406.0,Marco Pericoloso,MarcoPericoloso,124.0,191.0,288.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1340,466207205.0,1273211443.0,6,193.0,466207205.0,Paola Di Sara ,PaolaDiSara_,75.0,4.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1342,466210973.0,1273211443.0,4,195.0,466210973.0,Gianpiero Strulo,GianpieroStrulo,125.0,222.0,314.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1343,466214628.0,1273211443.0,12,197.0,466214628.0,Noemi Samisi,NoemiSamisi,128.0,287.0,357.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1348,466221249.0,1273211443.0,47,203.0,466221249.0,Teresa,TeresaScampo,276.0,4666.0,5132.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1349,466223608.0,1273211443.0,36,204.0,466223608.0,Nando Gargiulli,NandoGargiulli,121.0,31.0,38.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1351,466224759.0,1273211443.0,39,205.0,466224759.0,Francy Moresa,FrancescaMoresa,126.0,267.0,348.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1352,466225307.0,1273211443.0,28,206.0,466225307.0,Emma Dionigi,EmmaDionigi,119.0,2.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1353,466226882.0,1273211443.0,15,209.0,466226882.0,Antonia Miseri,AntoniaMiseri,156.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1354,466229029.0,1273211443.0,19,211.0,466229029.0,Beppe Cassino,BeppeCassino,31.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1357,466234508.0,1273211443.0,39,214.0,466234508.0,Emanuele Garza,EmanueleGarza,132.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1358,466235245.0,1273211443.0,32,215.0,466235245.0,Manuela Daveri,ManuelaDaveri,69.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1359,466239486.0,1273211443.0,36,219.0,466239486.0,Sandro Fumagallo,SandroFumagallo,131.0,1.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1360,466246466.0,1273211443.0,26,224.0,466246466.0,Gino,GinoMartulli,218.0,2904.0,3119.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1361,466247056.0,1273211443.0,46,225.0,466247056.0,Alessia Perinei,AlessiaPerinei,57.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1362,466249274.0,1273211443.0,12,226.0,466249274.0,Vanessa Dasteni,VanessaDasteni,84.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1364,466253654.0,1273211443.0,40,228.0,466253654.0,Gatrina,GatrinaMarcella,283.0,3719.0,3838.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1367,466255887.0,1273211443.0,12,230.0,466255887.0,Harker Lindholm,Harkernqb,306.0,105.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1369,466256821.0,1273211443.0,41,231.0,466256821.0,Pier Giorgio Coma,PierGiorgioComa,124.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1371,466257969.0,1273211443.0,48,233.0,466257969.0,Umberto Manno,UmbertoManno,111.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1374,466264796.0,1273211443.0,40,238.0,466264796.0,Deanda Nardi,DeandaNardiuzz,284.0,1972.0,1765.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1375,466266468.0,1273211443.0,30,240.0,466266468.0,GianPiera Rossi,GianPieraRossi,133.0,301.0,352.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1378,466278877.0,468025547.0,28,247.0,466278877.0,Laura Attacchini,LauraAttacchini,16.0,0.0,0.0,0.0,spam,social,607.0,468025547.0,Lara Florenzi,LaraFlorenzi,55.0,0.0,0.0,0.0,spam,social
1379,466283003.0,1273211443.0,37,250.0,466283003.0,Luigi Basco,LuigiBasco66,43.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1380,466285518.0,1273211443.0,46,251.0,466285518.0,Massimo Veredona,MassimoVeredona,98.0,17.0,31.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1384,466291288.0,1273211443.0,46,255.0,466291288.0,Tonino Danta,ToninoDanta,115.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1386,466292044.0,1273211443.0,7,256.0,466292044.0,Roberta,RobertaBruzzoni,219.0,3834.0,3850.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1388,466294699.0,1273211443.0,18,259.0,466294699.0,Carlo Mancini,CarloMancini65,126.0,389.0,590.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1391,466297752.0,1273211443.0,7,263.0,466297752.0,Chiara,ChiaraLoredani,237.0,4785.0,5059.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1392,466300024.0,538885769.0,43,266.0,466300024.0,Paolo,PaoloMorilli,204.0,2705.0,2972.0,0.0,spam,social,669.0,538885769.0,Milo,MiloMaranza,125.0,2425.0,2613.0,0.0,spam,social
1393,466301798.0,1273211443.0,34,269.0,466301798.0,Mario Belli Monti,MarioBelliMonti,129.0,15.0,30.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1394,466305031.0,1273211443.0,3,272.0,466305031.0,Marcello Donai,MarcelloDonai,140.0,233.0,351.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1395,466305077.0,1273211443.0,15,273.0,466305077.0,Edgardo Virgi,EdgardoVirgi,132.0,226.0,316.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1396,466307762.0,1273211443.0,42,275.0,466307762.0,Chiara,ChiaraCiottola,289.0,4551.0,4890.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1397,466307762.0,466219724.0,30,275.0,466307762.0,Chiara,ChiaraCiottola,289.0,4551.0,4890.0,0.0,spam,social,201.0,466219724.0,Bia,BiaCaracciolo,257.0,4723.0,5195.0,0.0,spam,social
1399,466307762.0,468004892.0,46,275.0,466307762.0,Chiara,ChiaraCiottola,289.0,4551.0,4890.0,0.0,spam,social,599.0,468004892.0,Carla,CarolaParnasse,335.0,5270.0,5490.0,0.0,spam,social
1401,466309651.0,1273211443.0,12,278.0,466309651.0,Giada Bustone,GiadaBustone,53.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
1405,466324791.0,1273211443.0,33,289.0,466324791.0,Rita Crampi,RitaCrampi,41.0,0.0,0.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
